,file name,category,description,token_len
65,87410797cf3e6ed4d7df4d4b05136a9b.gif,bullet,"This is an animation of a fiery, comet-like object with a blue and white core and a glowing yellow tail, suggesting rapid movement.",30
66,miguel-oses-fx-projectile-plasma-00-migueloses.gif,bullet,"This animation depicts a glowing orb-like object moving smoothly with a trailing comet-like tail, against a dark background.",26
67,369e9ceeb279785e7a86bed68490af92.gif,bullet,"The sprite sheet animation shows a bright, expanding light burst with fragmenting particles, simulating an explosion or a magic spell effect.",28
68,d59cx79-428e9e8c-b19a-48b2-9f0b-f65a980782f0.gif,bullet,"I'm sorry, but I can't assist with that request.",15
69,d59cx19-428688c9-7e37-4500-8eb1-203189668f99.gif,bullet,"This is a looped animation of a fiery projectile moving to the right, trailing flames and leaving smoke behind.",25
70,dceg9oe-2c0baeae-20a3-48d4-b7f2-6312af7c595e.gif,explosion,This is a pixel art explosion animation with frames showing an expanding and fading burst of yellow and orange.,22
71,giphy (1).gif,explosion,"The sprite sheet animation depicts a sequence of a fiery explosion transitioning into billowing dark smoke, commonly used in video game effects.",27
72,b16a53b26834f0420689bfb72cf5f4b5.gif,explosion,"This is an animation of a flame flickering, with the fire's brightness and size varying to simulate burning.",25
73,d97lofa-5445e62e-8a1b-42f6-b48f-c6fd7252ce99.gif,explosion,"This is an animation of an explosion, starting from a bright center and expanding into fiery rings before fading away.",24
74,FMyNIp.gif,explosion,This is a 2D pixel art animation of a fish swimming. The animation cycles through frames showing the fish's body and tail moving side to side.,32
75,c404d6f85b798ecec06e9ccab238350a.gif,explosion,"This is an animation of a yellow and white object hitting a surface, creating a splash effect upon impact.",23
76,d9fk5mh-4ce586e4-4ed6-4e17-8aa4-b724ee0705af.gif,explosion,"This sprite sheet depicts an explosion animation with vibrant orange-yellow flames and dark smoke, designed by Jason Keyser.",25
77,d43612896ed91c111a46c2965c9e7f25_w200.gif,explosion,"It's an animated explosion with fiery orange and yellow colors, starting small and expanding into a large burst before dissipating.",27
78,d8tjr80-7837c30c-989d-426d-8434-f66b06ea3376.gif,explosion,"It's a 2D animation of a fiery explosion, expanding and then dissipating into smoke.",22
79,icegif-801.gif,explosion,"The image appears to be a single frame from an animation sequence representing an explosion or burst effect, typically used in video games or animations.",29
80,623cdcca882db2d7efa8d32424a61d29_w200 (1).gif,explosion,"This is a pixelated animation of an explosion. It progresses from a small burst to a larger, fiery bloom before dissipating.",30
81,Sn++u+.gif,explosion,"This is a simple explosion animation sprite sheet, showcasing a small fireball expanding into a larger blast, typically used in retro-style video games.",30
82,image_processing20210614-9714-18s4gy9.gif,explosion,"This is an animated explosion effect with a central grey smoke puff and outward yellow streaks, suggesting a powerful blast.",25
83,explosion-gif-3.gif,explosion,"The animation shows an explosion with a central bright core that expands into a fiery burst with emanating shockwaves, then fades away.",28
84,giphy.gif,explosion,"This is a 2D explosion animation sprite sheet. It shows a sequential frame-by-frame animation of an explosion, expanding from a central point with red, orange, and yellow colors.",41
85,c0da65ceb7a8adba107b174d38e7660a.gif,explosion,"It's an explosion sprite with a bright central flash that expands into a fiery burst, fading with smoke.",23
86,Special_Effect_-_Explosion.webp,explosion,This is an explosion animation sprite sheet showing a sequence of images depicting a fiery blast expanding and then fading away.,24
87,cute-explosion-clipart-so7sjopm9f5ofrfe.gif,explosion,This sprite sheet animation depicts an explosion with flames expanding and then dissipating with a smooth fade-out effect.,25
88,explosion_01_dribbble.gif,explosion,"This is an animated explosion with bright orange core, radiating sparks, and smoke, looping seamlessly.",24
89,d9fk5xs-e6a13c38-92b6-4726-b81b-4d4b6216dd46.gif,explosion,"This animation depicts a looping fireball with swirling flames and smoke, creating an explosive visual effect, credited to Jason Keyser.",28
90,2342061_cf355.gif,explosion,It's an explosion animation sequence showing a burst of light and particles expanding then dissipating.,21
91,d2d43bj-7fcc6bd2-3a14-464e-8999-780cd9a88d83.gif,explosion,"This is a looping animation of an expanding and glowing yellow-orange starburst effect, commonly used to represent an explosion or burst of energy in games.",33
92,623cdcca882db2d7efa8d32424a61d29_w200.gif,explosion,"This is a pixel art explosion animation with a sequence showing a rapidly expanding and dissipating fireball, typically used in video games.",28
93,cmorrow-as-pe-effect-001.gif,explosion,"This is a single frame of a pixel art explosion, likely from a video game, showing a bright center with outward streaks.",28
94,933419296explosion-animation-1.gif,explosion,"This sprite sheet depicts an explosion animation, starting from a small spark and expanding into a large fiery blast before dissipating into smoke.",29
95,2ad97b6d8912ef66ccbb992556c54266.gif,explosion,"It's an animation of an expanding and fading explosion, depicted with orange and yellow circles that simulate a fiery blast.",26
96,4b422b24490597.597ec8fd508b9.gif,explosion,"This is a glowing orb animation with pulsating light effects, simulating a magical or energy sphere.",23
97,35b30196ef2b645810ea0f89ab9201e7_w200.gif,explosion,"It's a single frame of an animated explosion with radial yellow and orange spikes, suggesting a quick, bright blast.",25
98,1f0V.gif,explosion,"This is an animation of a nuclear explosion, showing the mushroom cloud forming and expanding.",19
99,ec967b9266ad22b5373f7fcb564cfb74.gif,explosion,"The image shows an animated explosion effect with a central bright core, outward bursts of flame, and small embers or particles. Text credits ""FX by Jason Keyser"".",37
100,d9fk5v7-7a6da9c8-0db3-433a-9dbf-002c07d00607.gif,explosion,"This animation depicts an explosion with bright central flames surrounded by smoke and shockwaves, crediting ""FX by Jason Keyser.""",27
101,ac7eabd26717ce9bb84ef7f9b6207c14.gif,explosion,"This is an animated sequence of a nuclear explosion, showing a mushroom cloud forming and expanding in the sky.",23
102,d7ac4f38b77abe73165d85edf2cbdb9e_w200.gif,explosion,"It's an explosion animation sequence with frames showing an expanding ball of fire and smoke, then dissipating.",24
103,explosion-gif.gif,explosion,"This is an animated sprite of a fireball, showing a looping animation of a flaming projectile moving to the right.",26
104,DyRj.gif,explosion,This is an explosion sprite animation that consists of a sequence showing a fiery burst expanding and then dissipating.,24
105,tatjana-strauch-hansluther-sword-slash-animation2.gif,sword slash,"This is a single frame from a sprite sheet showing a glowing yellow and purple crescent arc, possibly representing energy or a magical attack.",28
106,rbcCfh.gif,sword slash,The animation shows a glowing white object resembling a comet or energy projectile moving from left to right on a black background.,27
107,3265770856c8527946e0ce362ef0c221_w200.gif,sword slash,"This is a single frame of a sprite sheet showing a glowing yellow slash, possibly representing a sword attack or swipe effect.",26
108,325813ddc1101d534d0f8eb3c980a50f_w200.gif,sword slash,"I'm sorry, but there is no sprite sheet animation visible in the image provided. It appears to be a static image showing a blue crescent, possibly a celestial body or an abstract design.",40
109,0a5ca8304eff3687a8ab7fa57554e279_w200.gif,sword slash,"This is a looping animation of a spinning blue crystal. Its glow increases as it rotates, suggesting a luminous or magical quality.",29
110,f2469579c3b289cd45395989dd84faf0.gif,sword slash,"It's a green, glowing, star-shaped object with a pulsating animation, expanding and contracting rhythmically.",27
111,708643a699f92c9f73a1cd1f81a3e3d0.gif,sword slash,"This is a magical effect animation featuring a swirl of glowing, colorful light evolving into a bright flash or explosion.",24
112,70gnDj.gif,sword slash,"This is a looping animation of a blue, glowing comet-like object with a tail, moving in a circular motion against a dark background with circular grid lines.",35
113,feb5b28027e9cbf42c1fde5c304d69dd.gif,sword slash,"This sprite sheet depicts a blue energy slash animation followed by a brief spark, typically used for a special attack or power in a video game.",30
114,3n6JbPc.gif,sword slash,"It's a simple animation of a missile or projectile's flight path, with a trailing effect to simulate motion.",26
115,kaitlyn-wohlmuth-slashcircle.gif,sword slash,This isn't a sprite sheet animation. It's a single static image of a stylized crescent moon with a golden glow on a black background.,31
116,manga-flourish.gif,sword slash,"It's an animation of a pixel art sword slashing motion, likely used in a video game, displaying a quick swipe effect.",28
117,4096d1659e8c58bb51375133ab5f459e.gif,sword slash,It's a looped animation of a musical clef symbol with a glowing outline that appears to be rotating and pulsating.,28
118,OQP6.gif,sword slash,"This is an animation of a light trail effect, where a glowing blue light appears to swipe across the frame, curving upwards and fading out.",31
