,name,videoid,page_dir,file_ext,token_len
50,"Dynamic fire sprite sheet effect, pixel art, 8-bit style, inspired by classic arcade games, side camera, long shot, (resolution:4K), (detailed:1.5), (animation frame by frame:1.25), black background.",rowan-rees-fireball,fire,gif,55
51,"Animated dynamic fire sprite, pixel art, 8-bit style, inspired by vintage video games, side view, looping animation, (high resolution:1.25), (smooth animation:1.5), (bright colors:1.2), (Deviantart:1.1).",fireball-fire,fire,gif,60
52,"Animated flaming torch, pixel art, 8-bit style inspired by classic video games, solid black background, front view, loopable sprite sheet animation, (contrast:1.3) (color vibrancy:1.2) (sharp focus), (UHD:1.5).",Torch_Gif,fire,gif,60
53,"Pulsating fireball with ember trails, sprite sheet animation, pixel art style, Deviantart inspired, orthographic camera, full shot, (64K resolution:1.2) (glowing edges:1.3) (animated:1.5).",fire-sphere-spell,fire,gif,53
54,"Animated flickering fire sprite, pixel art, inspired by classic 16-bit video games, solid black background, from a straight-on camera angle, looping animation, (vivid colors:1.5), (8-bit color depth:1.25), (retro gaming:1.3).",12af711515dda548b39fe97683f3e618,fire,gif,65
55,"Animated fire sprite sheet, pixel art, inspired by classic 16-bit video games, Deviantart, straight-on camera, static shot, high resolution(pixel art:1.5), (16-bit color depth:1.25).",Z5r4Ro (1),fire,webp,53
56,"Animated pixel art fire, digital illustration, 8-bit style, inspired by classic arcade games, sharp focus, straight-on shot, high resolution with (vivid colors:1.3) and (dynamic lighting:1.25).",joe-griffin-fire-animation,fire,gif,50
57,"Intense fire explosion, pixel art animation, fantasy game art style, inspired by Deviantart effects, front view, zoomed-in shot, 32-bit color depth with (animated:1.5).",fire-17,fire,gif,43
58,"Energetic plasma bullet sprite sheet animation, pixel art, retro 8-bit style, inspired by classic arcade games, front view, looping effect, (highly detailed:1.3), (animation:1.25), solid teal background, (64K resolution:1.2).",db9d7d318004e340ab96151c30623a47,bullet,gif,61
59,"Animated glowing bullet impact, pixel art animation, retro game style, inspired by 16-bit era console graphics, direct head-on view, loopable sprite sheet effect, with (neon lighting:1.3), (64K resolution:1.25), (high detail pixel render:1.5).",00ec7e42197611.57d10a237d0a9,bullet,gif,67
60,"Energetic bullet sprite sheet animation, pixel art style, inspired by classic arcade shooters, centered shot, detailed 64K resolution, bright colors, HDR lighting.",eg_fireball_sprite_by_toneyhadnotjr-d7zb5fk,bullet,gif,33
61,"Energetic plasma bullet sprite sheet effect, digital illustration, pixel art animation, inspired by classic arcade games, 35mm lens, dynamic shot, (8K resolution:1.2), (highly detailed:1.3), (neon lighting:1.25), solid black background, Unreal Engine.",Spiritian,bullet,gif,63
62,"Glowing teal bullet sprite effect animation, pixel art, inspired by 16-bit era game graphics, Deviantart, front view, loopable action, (neon lighting:1.5), (high resolution:1.3), solid black background.",Fishman-Fireball-v2-copy,bullet,gif,51
63,"Energetic bullet sprite animation, pixel art, 8-bit style inspired by classic arcade games, solid black background, centered, dynamic light effects, high-definition pixels, (vivid colors:1.5), (64K resolution:1.25), (animation:1.3).",dbcm9sp-22cee56b-9065-4018-a906-04e5a4181d45,bullet,gif,61
64,"Pulsating energy bullet sprite sheet, pixel art, inspired by 16-bit era games, dark solid background, 3/4 view, high resolution, neon glow effect, (animation:1.5).",87410797cf3e6ed4d7df4d4b05136a9b,bullet,gif,45
65,"Energetic bullet sprite sheet effect animation, pixel art, cyberpunk aesthetic, inspired by Deviantart, camera front view, short telephoto lens, animation sequence, (neon lighting:1.3), (high resolution:1.25).",miguel-oses-fx-projectile-plasma-00-migueloses,bullet,gif,48
66,"Dynamic bullet impact sprite sheet, pixel art animation, retro video game style, inspired by 8-bit classics, centered shot, with (glowing effect:1.3), 32-bit color depth, (high resolution:1.2).",369e9ceeb279785e7a86bed68490af92,bullet,gif,51
67,"Energetic plasma bullet sprite sheet effect animation, digital illustration, pixel art, inspired by classic SNES shooters, high angle, dynamic motion blur, 8-bit color depth with glowing neon accents, (ArtStation:1.2), (Deviantart:0.8), (ambient light:1.15), (side-view:1.3), retro gaming aesthetic.",d59cx79-428e9e8c-b19a-48b2-9f0b-f65a980782f0,bullet,gif,76
68,"Enchanted flaming bullet, sprite sheet animation, pixel art, inspired by classic arcade games, solid dark background, side view, (render: low poly), (lighting: dynamic contrast), (detail: highly detailed), (artstation:1.2).",d59cx19-428688c9-7e37-4500-8eb1-203189668f99,bullet,gif,52
69,"Dynamic explosion sprite sheet, pixel art animation, 8-bit style, inspired by classic arcade games, side view, medium shot, high resolution (64K), (vibrant colors:1.5).",dceg9oe-2c0baeae-20a3-48d4-b7f2-6312af7c595e,explosion,gif,43
70,"Dynamic explosion sequence, sprite sheet animation, pixel art style, influenced by 16-bit era video games, side view, high resolution, (particle effects:1.3), (animation:1.5), (vivid colors:1.25), 16-bit color depth, solid color background.",giphy (1),explosion,gif,65
71,"Intense pixel art explosion, animated sprite sheet, retro game style, inspired by classic 16-bit games, side view, highly detailed, (4K:1.2), (HDR:1.25), solid black background.",b16a53b26834f0420689bfb72cf5f4b5,explosion,gif,50
72,"Bright fiery explosion, pixel art animation sprite sheet, 16-bit era style, inspired by classic arcade games, centered shot, high resolution, vivid orange and red palette with glow effects, (isometric view:1.2).",d97lofa-5445e62e-8a1b-42f6-b48f-c6fd7252ce99,explosion,gif,49
73,"Retro pixel-art explosion, sprite sheet animation, 8-bit style, inspired by classic arcade games, centered, long shot, (vivid colors:1.2), (64K resolution:1.3), simple black background.",FMyNIp,explosion,gif,50
74,"Vivid explosion animation sequence, pixel art, 8-bit style, inspired by classic arcade games, centered shot, high resolution, (impactful explosion:1.5), (pixel clarity:1.25), black solid background.",c404d6f85b798ecec06e9ccab238350a,explosion,gif,48
75,"Intense explosion animation sprite sheet, digital illustration, pixel art style, inspired by 16-bit era video games, solid dark background, isometric view, 4K resolution, vivid colors, sharp focus.",d9fk5mh-4ce586e4-4ed6-4e17-8aa4-b724ee0705af,explosion,gif,43
76,"Intense fireball explosion, pixel art animation spritesheet, game design, inspired by classic arcade games, straight-on camera, frame by frame, (8-bit color palette:1.5), (high resolution:1.25), ambient light.",d43612896ed91c111a46c2965c9e7f25_w200,explosion,gif,54
77,"Animated explosion sprite effect, digital illustration, pixel art, inspired by classic arcade games, centered shot, detailed with dynamic lighting (artstation:1.2) (pixel density:1.25) on a solid black background.",d8tjr80-7837c30c-989d-426d-8434-f66b06ea3376,explosion,gif,49
78,"Dynamic cartoon-style explosion, sprite sheet animation, crisp flat colors, inspired by 16-bit era video games, solid background, isometric view, highly detailed (animation:1.5), 4K resolution.",icegif-801,explosion,gif,46
79,"Retro-style explosion, pixel art, 8-bit style, inspired by classic arcade games, side view, frame-by-frame animation, 4K, vibrant orange and yellow colors, sharp focus, high contrast, solid black background.",623cdcca882db2d7efa8d32424a61d29_w200 (1),explosion,gif,50
80,"Dynamically expanding explosion, pixel art animation, 8-bit style, inspired by classic arcade games, solid black background, front view, sprite sheet format, (high resolution:1.25), (vivid colors:1.5).",Sn++u+,explosion,gif,50
81,"Dynamic explosion sprite sheet effect, digital illustration, 2D game art, inspired by classic arcade games, side view, medium shot, UHD, bright colors, sharp focus, (animation smoothness:1.5)",image_processing20210614-9714-18s4gy9,explosion,gif,46
82,"Expanding fireball explosion, pixel art animation, retro 16-bit style, influenced by ArtStation game sprites, camera front view, medium shot, 4K resolution with (dynamic lighting:1.3), (frame-by-frame animation:1.5).",explosion-gif-3,explosion,gif,56
83,"Explosive fireball animation, pixel art, retro game-inspired, influenced by 16-bit classics, centered shot, detail-focused, (high resolution:1.5), (vivid colors:1.25) on solid black background.",giphy,explosion,gif,51
84,"Radiant explosion effect animation, sprite sheet, pixel art, inspired by classic arcade games, straight-on camera, fixed shot, high detail on a solid black background, neon lighting (vibrancy:1.3), (8-bit color depth:1.2), (Unity Engine:1.1).",c0da65ceb7a8adba107b174d38e7660a,explosion,gif,64
85,"Intense fiery explosion with dynamic debris, pixel art, retro game style, inspired by classic arcade games, straight-on camera, medium shot, 8-bit color depth, (high resolution:1.25), (sharp focus:1.1), (lighting:1.2)",Special_Effect_-_Explosion,explosion,webp,60
86,"Intense fireball explosion, animated pixel art, inspired by classic arcade games, centered on a solid black background, dynamic lighting, focused medium shot, (8-bit:1.5) style, (vivid colors:1.25), (frame-by-frame animation:1.3).",cute-explosion-clipart-so7sjopm9f5ofrfe,explosion,gif,62
87,"Vibrant explosion effect, digital sprite sheet animation, pixel art style, inspired by retro arcade games, static camera, full shot, glowing particles detail (hdr:1.25), (resolution:4K).",explosion_01_dribbble,explosion,gif,44
88,"Fiery explosion sprite sheet animation, pixel art, retro game style, influenced by 16-bit era graphics, front view, medium shot, (vivid colors:1.2) (high resolution:1.25), purple solid color background.",d9fk5xs-e6a13c38-92b6-4726-b81b-4d4b6216dd46,explosion,gif,52
89,"Animated explosion sequence, pixel art, retro game style, inspired by classic arcade games, side view, detailed pixels, 8-bit color palette, looping gif with seamless frames.",2342061_cf355,explosion,gif,38
90,"Vibrant explosion animation, pixel art, retro gaming style, inspired by classic arcade games, solid teal background, full shot, (8-bit color depth:1.5) (dynamic lighting:1.25), high-resolution sprite sheet effect.",d2d43bj-7fcc6bd2-3a14-464e-8999-780cd9a88d83,explosion,gif,53
91,"Vibrant pixel art explosion, frame-by-frame animation, retro gaming inspiration, with a black solid background, 8-bit style, inspired by classic arcade games, smooth looping animation, digital illustration, central framing, with high contrast and vivid colors, designed for an action-packed platformer game, pixel density 1x1 for authenticity.",623cdcca882db2d7efa8d32424a61d29_w200,explosion,gif,71
92,"Explosion sprite sheet animation, pixel art, video game style, inspired by classic arcade games, front view, detailed with black solid background, 8-bit color depth, crisp sharp focus, high resolution.",cmorrow-as-pe-effect-001,explosion,gif,42
93,"Explosive fireball mid-detonation, pixel art sprite sheet, 8-bit retro style, inspired by classic arcade games, simple black background, high resolution (4K), side view, looping animation, (vivid colors:1.5), (dynamic lighting:1.25).",933419296explosion-animation-1,explosion,gif,60
94,"Intense fiery explosion, pixel art, game sprite sheet effect, influenced by classic 16-bit video games, front view, animated sequence, vivid colors, (8-bit console:1.3), high resolution.",2ad97b6d8912ef66ccbb992556c54266,explosion,gif,46
95,"Expanding energy shockwave, pixel art sprite sheet, 8-bit style, inspired by classic arcade games, solid dark background, dynamic front camera view, loop animation, (high contrast:1.5) (vivid green palette:1.25), pixel-perfect render.",4b422b24490597.597ec8fd508b9,explosion,gif,58
96,"Expansive explosion effect animation, pixel art, retro gaming inspired, referencing Deviantart, from top view, medium shot, 8-bit color depth, hyperdetailed animation frames, (luminosity:1.3), (contrast:1.2).",35b30196ef2b645810ea0f89ab9201e7_w200,explosion,gif,51
97,"Intense nuclear explosion, animated sprite sheet, pixel art style, inspired by classic 16-bit video games, centered camera, full shot, 8K resolution with (vivid colors:1.5) and (high detail:1.3).",1f0V,explosion,gif,51
98,"Explosive fireball effect, digital animation, game art, inspired by Jason Keyser, wide angle, sprite sheet sequence, (high resolution:1.2), (vivid colors:1.25), (frame-by-frame animation:1.3).",ec967b9266ad22b5373f7fcb564cfb74,explosion,gif,54
99,"Animated fiery explosion, pixel art, inspired by 16-bit video games, solid color background, high angle, loopable sprite sheet effect(animation:1.5), (vivid colors:1.25), 8-bit inspired audio response effect",d9fk5v7-7a6da9c8-0db3-433a-9dbf-002c07d00607,explosion,gif,53
100,"Explosive mushroom cloud animation, pixel art, 8-bit style inspired by classic arcade games, solid black background, medium shot, high resolution, (sprite sheet effect:1.3).",ac7eabd26717ce9bb84ef7f9b6207c14,explosion,gif,39
101,"Dynamic explosion sprite sheet, pixel art, inspired by classic arcade games, sharp focus, low angle, 8-bit color palette, high resolution.",d7ac4f38b77abe73165d85edf2cbdb9e_w200,explosion,gif,31
102,"Pixel-art style explosion, sprite sheet animation, inspired by 16-bit era video games, side view, high resolution, with vivid colors, on a solid color background, (pixel density:1.5), (frame rate:1.25).",explosion-gif,explosion,gif,55
103,"Explosion sprite sheet for game, pixel art, retro style, inspired by 8-bit classics, solid color background, static camera, full shot, high resolution (pixels:1.5), (ArtStation:1.2).",DyRj,explosion,gif,48
104,"Energetic sword slash effect animation, pixel art, fantasy game-inspired, ArtStation, front view, static shot, 8K detailed resolution, bright fantasy vivid colors, glowing neon lighting.",tatjana-strauch-hansluther-sword-slash-animation2,sword slash,gif,39
105,"Energetic sword slash animation sequence, pixel art, 8-bit style, inspired by classic arcade games, front camera, sequence shot, bright neon contrasting colors on a solid black background, pixel-perfect detail (resolution:2), (brightness:1.5).",rbcCfh,sword slash,gif,54
106,"Energetic sword slash animation, pixel art, retro game style, influenced by 16-bit era RPGs, centralized on canvas, sprite sheet effect, resolution detailed, bright dynamic lighting.",3265770856c8527946e0ce362ef0c221_w200,sword slash,gif,40
107,"Energetic sword slash effect, pixel art animation, 8-bit style, inspired by classic SNES games, straight-on camera, action shot, with (shiny metallic texture:1.3) and (glowing edge:1.25), solid black background.",325813ddc1101d534d0f8eb3c980a50f_w200,sword slash,gif,54
108,"Energetic sword slash animation, pixel art, inspired by classic SNES games, (ArtStation:1.2), centered medium shot, (8-bit color palette:1.3), (animation:1.5), solid black background.",0a5ca8304eff3687a8ab7fa57554e279_w200,sword slash,gif,50
109,"Energetic green sword slash effect, pixel art animation, 8-bit style, inspired by classic arcade games, direct view, loopable sequence, neon lighting on solid black background, (resolution:4K) (frame rate:24 fps), (render:pixel perfect).",f2469579c3b289cd45395989dd84faf0,sword slash,gif,57
110,"Energetic sword slash effect animation, pixel art, inspired by classic 16-bit RPGs, ArtStation, high angle, detailed with (dynamic lighting:1.25), solid black background, (high resolution:1.2).",708643a699f92c9f73a1cd1f81a3e3d0,sword slash,gif,50
111,"Energetic sword slash animation, pixel art, 8-bit style, inspired by classic arcade games, side view, medium shot, high resolution with neon blue hues and dynamic lighting effects, seamless looping(sprite sheet:1.5).",70gnDj,sword slash,gif,49
112,"Energetic sword slash effect, pixel art animation, fantasy game inspired, (Deviantart:1.2), (ArtStation:1.1), dynamic angle, action shot, (8-bit:1.5), (smooth frame transitions:1.3), black solid background, (high-resolution:1.25), vivid blue tones.",feb5b28027e9cbf42c1fde5c304d69dd,sword slash,gif,72
113,"Animated sword slash effect, pixel art, 8-bit style, inspired by classic arcade games, side camera, action sequence shot, (high resolution:1.2), (solid black background:1.5).",3n6JbPc,sword slash,gif,45
114,"Luminous sword slash effect, pixel art, fantasy, inspired by classic 16-bit RPGs, static camera, full shot, vivid colors with (lighting:1.5) on a solid black background, (high resolution:1.25), (frame by frame animation:1.5).",kaitlyn-wohlmuth-slashcircle,sword slash,gif,63
115,"Animated sword slash effect, pixel art animation, retro game-inspired, 8-bit style, on solid dark background, side view, high resolution, loopable sprite sheet sequence, (lighting: neon blue glow), SNES era, (detail:1.5).",manga-flourish,sword slash,gif,55
116,"Animated sword slash effect, sprite sheet for game, pixel art style, inspired by classic 16-bit RPGs, medium telephoto lens, isometric view, high detail with a solid black background, (weight:1.5).",4096d1659e8c58bb51375133ab5f459e,sword slash,gif,50
117,"Energetic sword slash effect animation, pixel art, inspired by classic JRPGs, solid black background, (ArtStation:1.2), (DeviantArt:0.8), wide angle, action shot, (8-bit:1.5) style, (vivid blue neon lighting:1.25), loopable sequence.",OQP6,sword slash,gif,68
